English Word,French Word,Frequency
abide,respecter,45
about,sur,980
above,au dessus,147
abroad,à l'étranger,0
absence,absence,55
abuse,abuser de,76
according,selon,55
account,Compte,0
accuse,accuser,53
acquainted,connaissance,244
action,action,161
advantage,avantage,51
advice,Conseil,0
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,118
after,après,0
afterwards,ensuite,0
again,encore,1938
alive,vivant,213
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,0
although,bien que,1338
always,toujours,63
ambition,ambition,49
ancient,ancien,154
angel,ange,334
anger,colère,0
another,un autre,454
answer,répondre,0
anything,n'importe quoi,105
apparel,vêtements,0
appear,apparaître,0
appears,apparaît,0
approach,approche,102
argument,argument,78
ariel,Ariel,0
armour,armure,57
aside,de côté,0
asleep,endormi,60
assure,assurer,71
athens,Athènes,0
attend,assister,0
attended,assisté,0
authority,autorité,0
avoid,éviter,0
awake,éveillé,0
awhile,quelque temps,102
banish,bannir,205
barren,Dénudé,0
bassianus,bassianus,45
bastard,Connard,0
battle,bataille,146
beard,barbe,133
bearing,palier,73
bears,ours,232
beast,la bête,0
beaten,battu,50
beauty,beauté,0
because,car,959
become,devenir,209
bedford,Bedford,0
before,avant,1429
beggar,mendiant,125
begin,commencer,188
behalf,nom,317
behind,derrière,0
behold,voir,213
being,étant,0
believe,croyez,251
belike,être comme,0
below,au dessous de,54
benefit,avantage,51
besides,outre,109
betray,trahir,68
better,mieux,612
between,entre,3252
beyond,au-delà,0
birth,naissance,103
bishop,évêque,0
bitter,amer,100
black,noir,195
blame,faire des reproches,94
bless,bénir,0
blessing,bénédiction,0
blest,heureux,259
blind,aveugle,100
blood,du sang,934
blows,coups,72
blunt,cru,222
blush,rougir,89
bodies,corps,53
bones,des os,76
borne,supporté,0
bottom,bas,738
bought,acheté,0
bound,lié,0
bounty,prime,63
brain,cerveau,154
brains,cerveaux,0
brave,courageux,222
breast,Sein,0
breath,souffle,359
breed,race,127
brief,bref,115
bright,brillant,82
bring,apporter,526
broke,cassé,0
brook,ruisseau,91
brother,frère,0
brought,apporté,0
brows,sourcils,135
burden,fardeau,60
buried,enterré,0
burning,brûlant,0
business,Entreprise,0
cannot,ne peux pas,762
capitol,Capitole,0
captain,capitaine,161
cardinal,cardinal,172
cares,se soucie,36
carry,porter,318
castle,Château,0
catch,capture,92
cause,cause,362
cease,cesser,52
certain,certain,213
chain,chaîne,0
chair,chaise,46
challenge,défi,0
chamber,chambre,159
chance,chance,139
change,changement,199
charge,charge,452
charity,charité,0
chaste,chaste,0
cheek,joue,150
cheer,acclamation,132
chide,gronder,59
chief,chef,75
child,enfant,377
choice,choix,72
church,église,0
cinna,cinna,40
citizen,citoyenne,80
civil,civil,58
claim,prétendre,0
clarence,clarté,0
claud,claud,307
claudio,Claudio,0
clear,clair,86
clifford,Clifford,0
close,proche,204
cloten,cailloter,21
clothes,vêtements,0
clouds,des nuages,59
clown,pitre,61
college,Université,0
colour,Couleur,0
comes,vient,626
comfort,confort,242
coming,venir,223
cominius,cominius,104
command,commander,291
commanded,commandé,0
commend,saluer,239
commercial,commercial,442
commission,commission,52
commit,commettre,86
common,commun,250
companion,un compagnon,55
company,entreprise,442
complete,Achevée,0
complexion,complexion,47
condition,état,0
conduct,conduite,53
confess,avouer,185
conscience,conscience,127
consent,consentement,112
consider,considérer,0
constable,gendarme,44
constant,constant,57
contempt,mépris,0
content,contenu,232
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,7
could,pourrait,1326
council,conseil,277
counsel,Conseil,0
count,compter,605
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,28
courage,courage,301
course,cours,186
court,tribunal,445
courtesy,courtoisie,0
cousin,cousin,287
coward,lâche,0
crave,demander,0
creature,créature,0
credit,crédit,0
cromwell,Cromwell,0
cross,traverser,119
crown,couronne,394
cruel,cruel,100
cunning,ruse,81
cupid,Cupidon,0
curse,malédiction,0
custom,Douane,0
dagger,dague,57
damned,damné,0
dance,Danse,0
danger,danger,47
darkness,obscurité,0
daughter,fille,658
deadly,mortel,171
dearest,très cher,0
dearly,chèrement,0
death,décès,0
deeds,actes,118
defend,défendre,0
degree,diplôme,0
delight,délice,0
deliver,livrer,198
demand,demande,247
denied,refusé,0
depart,partir,98
desert,désert,0
deserve,mériter,0
desire,le désir,0
despair,désespoir,0
desperate,désespéré,0
despite,malgré,0
device,dispositif,49
devil,diable,297
devise,concevoir,57
didst,didst,183
dinner,dîner,0
discourse,discours,231
discover,découvrir,0
disgrace,disgrâce,0
dishonour,déshonorer,0
dispatch,envoi,92
displeasure,mécontentement,0
disposition,disposition,50
distributed,distribué,0
divine,Divin,0
doctor,docteur,92
doing,Faire,0
dolabella,Dolabella,0
doors,des portes,62
double,double,127
doubt,doute,238
download,Télécharger,0
dramatis,dramatis,36
drawn,tiré,0
dread,crainte,121
dreadful,horrible,25
dream,rêver,0
dreams,rêves,0
drink,boisson,218
drops,gouttes,56
drown,noyer,108
drums,tambours,41
drunk,ivre,172
duncan,Duncan,0
durst,durst,51
dwell,habiter,0
dying,en train de mourir,48
early,de bonne heure,50
earth,Terre,0
edmund,Edmund,0
effect,effet,553
egypt,Egypte,0
either,Soit,0
elbow,coude,30
elder,aîné,0
embrace,embrasse,84
emilia,Émilie,0
emperor,empereur,107
empty,vide,64
encounter,rencontre,110
endure,supporter,885
enemies,ennemis,111
enemy,ennemi,278
enjoy,prendre plaisir,71
enobarbus,énobarbus,0
enough,assez,402
enter,entrer,2568
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,159
equal,égal,0
estate,biens,57
eternal,éternel,0
every,chaque,555
everything,tout,164
excellent,excellent,125
except,sauf,219
excuse,excuse,86
execution,exécution,0
exeter,Exeter,0
exeunt,sortir,1035
express,Express,0
faces,visages,57
faint,perdre connaissance,76
fairy,Fée,0
faith,Foi,0
falls,des chutes,81
false,faux,734
familiar,familier,47
fancy,fantaisie,57
farewell,adieu,458
farther,plus loin,326
fashion,mode,254
fatal,fatal,45
father,père,0
fault,faute,276
favour,favoriser,203
fearful,craintif,99
fears,peurs,77
feast,le banquet,132
feeble,faible,31
fellow,compagnon,478
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,189
field,champ,247
fiend,démon,0
fierce,féroce,0
fiery,ardent,50
fight,bats toi,322
figure,figure,58
finds,trouve,42
finger,doigt,117
first,première,0
flatter,flatter,137
flesh,la chair,142
flies,mouches,58
flight,vol,501
flood,inonder,59
flourish,fleurir,145
flower,fleur,242
flowers,fleurs,46
follow,suivre,560
folly,folie,80
foolish,insensé,0
fools,imbéciles,0
forbear,ancêtre,0
forbid,interdire,86
force,Obliger,0
forces,les forces,0
forest,forêt,0
forget,oublier,115
former,ancien,154
forsooth,en vérité,0
forth,en avant,401
fortune,fortune,474
forward,vers l'avant,97
fought,combattu,67
found,a trouvé,0
fourth,Quatrième,0
frame,Cadre,0
france,France,0
freely,librement,55
french,français,0
fresh,Frais,0
friend,ami,1101
frown,froncer les sourcils,87
fruit,fruit,70
further,plus loin,326
gallant,galant,71
garden,jardin,54
gates,portes,163
gaunt,décharné,0
general,général,0
gentle,doux,991
ghost,fantôme,0
given,donné,0
giving,donnant,61
glass,verre,81
glorious,glorieux,42
glory,gloire,88
going,Aller,0
golden,d'or,92
goodness,la bonté,0
gower,gower,53
grace,la grâce,0
grant,subvention,147
grave,la tombe,235
great,génial,0
green,vert,354
greet,saluer,239
grief,douleur,365
grieve,pleurer,71
gross,brut,578
ground,sol,923
grown,grandi,61
guard,garde,252
guess,devine,55
guilty,coupable,71
habit,habitude,141
hands,mains,339
hanging,pendaison,44
hangs,bloque,37
happiness,bonheur,57
happy,heureux,259
haste,hâte,0
hateful,odieux,39
having,ayant,158
hazard,danger,47
heads,têtes,0
health,santé,0
heard,entendu,349
heart,cœur,0
heaven,paradis,865
heavy,lourd,169
hector,Hector,0
heels,talons,75
hence,Par conséquent,0
henceforth,désormais,0
hereafter,"ci-après, par la suite",0
herself,se,11215
highness,altesse,189
holds,tient,82
hollow,creux,54
honest,honnête,0
horse,cheval,523
hostess,hôtesse,0
hours,heures,141
house,maison,639
hubert,Hubert,0
humble,humble,92
humour,humour,124
hundred,cent,164
husband,mari,1061
ignorant,ignorant,48
image,image,110
includes,comprend,2
indeed,En effet,0
infinite,infini,44
innocent,innocent,56
instant,instant,85
intend,avoir l'intention,97
intent,intention,171
issue,problème,0
itself,lui-même,0
jealous,jaloux,96
jewel,bijou,89
judge,juge,235
judgment,jugement,133
julia,Julia,0
justice,Justice,0
keeps,garde,252
kindness,la gentillesse,56
kingdom,Royaume,0
kings,rois,117
knave,fripon,239
kneel,s'agenouiller,116
knees,les genoux,51
knife,couteau,55
knight,Chevalier,0
knock,frappe,142
knowing,connaissance,244
knowledge,connaissance,244
known,connu,188
knows,sait,220
labour,la main d'oeuvre,128
ladies,Dames,0
ladyship,Madame,0
lands,terres,56
large,grand,255
laugh,rire,215
launce,lancer,36
lawful,légitime,0
learn,apprendre,218
learned,appris,1
least,moins,101
leave,laisser,735
leisure,loisir,68
leontes,leontes,150
letter,lettre,377
liberty,liberté,0
library,bibliothèque,0
liege,Liege,0
lieutenant,lieutenant,81
light,lumière,0
limbs,membres,47
little,peu,1411
lives,vies,208
living,vivant,213
longer,plus long,112
looks,regards,0
loose,ample,77
lords,seigneurs,514
lordship,seigneurie,0
lorenzo,Lorenzo,0
lovely,charmant,53
lovers,les amoureux,61
loves,aime,208
loving,aimant,120
lucentio,Lucentio,0
machine,machine,224
madness,la démence,0
maiden,jeune fille,165
maids,servantes,0
maintain,maintenir,58
majesty,majesté,0
makes,fait du,360
making,fabrication,83
malice,malice,72
manner,manière,0
march,Mars,0
marcius,Marcius,0
marcus,Marcus,0
margaret,margaret,210
maria,maria,291
mariana,Mariana,0
marriage,mariage,122
marry,marier,377
master,Maître,0
match,rencontre,110
matter,matière,0
meaning,sens,283
means,veux dire,264
meant,signifiait,83
measure,mesure,108
meeting,réunion,0
membership,adhésion,0
memory,Mémoire,0
merchant,marchande,44
mercy,pitié,0
merit,mérite,0
merry,joyeux,169
messenger,Messager,0
midnight,minuit,43
might,pourrait,1326
mighty,puissant,11
milan,Milan,0
minds,esprits,182
minister,ministre,61
miranda,Miranda,0
mirth,gaieté,0
mischief,sottises,0
misery,misère,0
mistake,erreur,53
mistress,maîtresse,0
modest,modeste,95
money,argent,264
monster,monstre,95
month,mois,98
morning,Matin,0
morrow,demain,330
mortal,mortel,171
mother,mère,0
motion,mouvement,96
mouth,bouche,183
mowbray,mowbray,66
murder,meurtre,137
murther,aller plus loin,89
music,la musique,249
myself,moi même,0
naked,nu,1238
names,des noms,50
native,originaire de,43
natural,Naturel,0
nature,la nature,475
needs,Besoins,0
neighbour,voisine,89
neither,ni,1788
never,jamais,1020
niece,nièce,0
night,nuit,904
noble,noble,722
noise,bruit,124
nothing,rien,640
nought,néant,0
number,nombre,207
nurse,infirmière,0
oaths,serments,69
obedience,obéissance,0
oberon,Oberon,0
object,objet,54
occasion,occasion,91
offence,infraction,121
offend,offenser,149
offer,offre,154
office,Bureau,0
often,souvent,134
oliver,oliver,58
opinion,opinion,97
order,ordre,116
orlando,orlando,164
other,autre,1391
others,autres,187
ourselves,nous-mêmes,0
outward,vers l'extérieur,0
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,91
painted,peint,63
painter,peintre,10
palace,palais,167
pandarus,Pandarus,0
paper,papier,122
pardon,pardon,419
paris,Paris,0
parolles,parolles,175
parted,séparé,0
particular,particulier,71
partly,partiellement,35
parts,les pièces,0
party,fête,0
passage,passage,44
passion,la passion,134
patience,la patience,185
patient,patient,108
paulina,paulina,86
peace,paix,555
pedro,pedro,155
people,gens,225
perceive,apercevoir,102
percy,Percy,0
perfect,parfait,99
perhaps,peut-être,0
peril,péril,0
permission,autorisation,4
person,la personne,215
personal,personnel,54
phebe,phebe,48
philip,Philippe,0
picture,image,110
piece,pièce,0
pistol,pistolet,45
place,endroit,510
plague,peste,112
plain,plaine,186
plead,plaider,63
please,S'il vous plaît,0
pleasure,plaisir,286
pluck,cueillir,163
poins,poins,103
point,point,195
poison,poison,126
policy,politique,45
polixenes,polixènes,0
pompey,pompey,211
porter,porter,318
possible,possible,58
posthumus,posthume,32
pound,livre,273
power,Puissance,0
practice,entraine toi,56
praise,louange,228
prayers,prières,0
precious,précieux,0
prepare,préparer,0
presence,présence,0
present,présent,0
pretty,jolie,117
pride,fierté,0
priest,prêtre,0
prince,prince,1126
prison,prison,225
private,privé,0
prize,prix,56
proceed,procéder,0
proclaim,proclamer,0
profit,profit,60
prohibited,interdit,0
project,projet,32
prologue,prologue,43
promise,promettre,157
proof,preuve,97
proper,correct,132
protector,protecteur,60
protest,manifestation,67
proud,fier,361
prove,prouver,314
provided,à condition de,0
public,Publique,0
purpose,objectif,260
purse,bourse,102
quality,qualité,0
quarrel,querelle,129
queen,reine,574
question,question,174
quick,rapide,343
quiet,silencieux,96
quite,assez,402
quoth,quoth,66
raise,élever,0
ransom,une rançon,0
rascal,coquin,195
rather,plutôt,0
readable,lisible,3
ready,prêt,0
realm,domaine,60
reason,raison,390
receive,recevoir,144
regard,qui concerne,275
reign,règne,0
reignier,règne,0
remain,rester,127
remedy,remède,0
remember,rappelles toi,200
render,rendre,55
repair,réparation,0
repent,se repentir,77
report,rapport,185
reputation,réputation,0
request,demande,247
respect,le respect,185
return,revenir,281
revenge,vengeance,242
reverence,révérence,0
revolt,révolte,0
right,droite,432
rivers,rivières,0
rogue,coquin,195
rotten,pourri,40
rough,rugueux,83
round,rond,101
royal,Royal,0
sacred,sacré,0
safety,sécurité,0
saint,Saint,0
salerio,salerio,48
satisfied,satisfait,48
saying,en disant,61
scarce,rare,171
scene,scène,0
scorn,mépris,0
search,chercher,189
season,saison,62
second,seconde,119
secret,secret,113
seeing,voyant,53
senate,sénat,0
senator,sénateur,0
sense,sens,283
sentence,phrase,79
servant,serviteur,299
serve,servir,236
service,un service,262
seven,Sept,0
several,nombreuses,106
shadow,ombre,138
shake,secouer,169
shall,doit,3710
shame,la honte,359
shape,forme,124
sharp,tranchant,90
shepherd,berger,86
shine,éclat,0
shore,rive,171
short,court,192
shortly,prochainement,0
should,devrait,1716
shows,montre,103
sickness,maladie,54
sight,vue,230
silence,silence,114
silver,argent,264
simple,Facile,0
since,depuis,462
single,Célibataire,0
sirrah,sirrah,148
sister,sœur,0
skill,compétence,0
slain,tué,0
slander,calomnie,87
slave,esclave,174
sleep,sommeil,378
slender,mince,49
small,petit,165
smell,odeur,69
smile,sourire,125
soldier,soldat,361
solemn,solennel,69
somerset,somerset,147
something,quelque chose,183
sometime,parfois,138
sooner,plus tôt,0
soothsayer,devin,64
sorrow,chagrin,244
sorry,Pardon,0
sought,recherché,0
souls,âmes,0
sound,du son,328
sovereign,souverain,0
spare,de rechange,63
speak,parler,1398
speaks,parle,1445
special,spécial,0
speech,discours,231
speed,la vitesse,162
spend,dépenser,0
spirit,esprit,452
spite,dépit,0
spoke,parlait,210
sport,sport,144
spring,printemps,83
staff,Personnel,0
stain,tache,88
stand,supporter,885
stars,étoiles,0
state,Etat,0
steal,voler,130
steel,acier,78
steward,intendant,40
still,encore,1938
stomach,estomac,62
stone,calcul,132
stood,se tenait,93
store,boutique,46
storm,orage,81
story,récit,0
straight,tout droit,161
strange,étrange,0
street,rue,153
strength,force,144
strike,la grève,0
stroke,accident vasculaire cérébral,0
strong,fort,876
struck,frappé,0
study,étude,0
stuff,des trucs,69
subject,matière,0
substance,substance,43
success,Succès,0
sudden,soudain,129
suddenly,tout à coup,0
suffer,souffrir,162
suffolk,suffolk,259
summer,été,0
supper,souper,64
surely,sûrement,0
surrey,Surrey,0
suspect,suspect,51
swear,jurer,321
sweat,transpiration,53
sweet,sucré,0
swift,rapide,343
sword,épée,0
swore,juré,0
sworn,juré,0
syracuse,Syracuse,0
table,table,78
tailor,tailleur,44
taken,pris,523
talbot,talbot,175
tarry,goudronneux,49
taste,goût,0
taught,enseigné,0
teach,enseigner,137
tears,larmes,353
tedious,fastidieux,51
teeth,les dents,56
tells,raconte,42
tempest,tempête,0
tender,soumissionner,173
terms,termes,75
thank,remercier,510
their,leur,2227
themselves,se,11215
there,Là,0
therefore,par conséquent,0
therein,la bride,0
these,celles-ci,1338
thief,voleur,68
thing,chose,914
think,pense,1388
third,troisième,0
thomas,Thomas,0
those,ceux,547
though,bien que,1338
thought,pensée,0
thrive,prospérer,0
throat,gorge,97
throne,trône,0
through,par,5191
throw,jeter,176
thrust,poussée,0
thunder,tonnerre,90
times,fois,343
title,Titre,0
together,ensemble,258
tongue,langue,504
tonight,ce soir,0
touch,toucher,228
toward,vers,607
tower,la tour,86
train,train,158
traitor,traitre,206
tread,bande de roulement,54
treason,trahison,0
treasure,Trésor,0
trial,procès,0
tribunes,tribunes,67
trick,tour,239
triumph,triomphe,79
trouble,difficulté,0
truly,vraiment,174
trumpet,trompette,180
trust,confiance,217
truth,vérité,0
turns,se tourne,55
twice,deux fois,72
tyrant,tyran,123
ulysses,Ulysse,0
uncle,oncle,233
under,sous,554
understand,comprendre,0
undertake,entreprendre,0
undone,défait,0
unhappy,malheureux,0
unknown,inconnue,0
unless,sauf si,154
until,jusqu'à,0
unworthy,indigne,37
utter,prononcer,82
valentine,Valentin,0
valiant,vaillant,163
valour,valeur,101
vantage,avantage,51
vengeance,vengeance,242
venice,venise,64
version,version,223
victory,la victoire,47
villain,scélérat,0
viola,alto,18
violent,violent,49
virtue,vertu,244
visit,visite,96
voice,voix,213
walls,des murs,85
warlike,guerrier,58
warrant,mandat,195
waste,déchets,0
watch,regarder,217
water,eau,243
wealth,richesse,85
weapons,armes,43
weary,se lasser,78
weeds,mauvaises herbes,44
weeping,larmes,353
weight,poids,63
welcome,Bienvenue,0
wench,jeune fille,165
whence,d'où,0
where,où,0
wherein,où,0
whether,qu'il s'agisse,97
which,lequel,2323
while,tandis que,327
whither,où,0
whole,entier,154
whore,putain,103
whose,dont,618
widow,veuve,98
willing,prêt,0
window,la fenêtre,0
wings,ailes,55
winter,hiver,83
wisdom,sagesse,105
witch,sorcière,0
withal,avec,151
within,dans,578
without,sans pour autant,368
witness,témoin,0
wives,épouses,0
wolsey,Wolsey,0
woman,femme,436
wonder,merveille,165
works,travaux,28
world,monde,706
worse,pire,180
worship,culte,133
worth,vaut,525
would,aurait,2433
wound,blessure,207
wounded,blessés,0
wrath,colère,0
wretch,misérable,0
write,écrire,0
written,écrit,0
wrong,faux,734
wrought,forgé,0
yield,rendement,199
yonder,là-bas,0
young,Jeune,0
yours,le tiens,536
yourself,toi même,0
youth,jeunesse,318
